title,genres_clean,overview,popularity,combined_features
Teenage Cocktail,Dramas Independent Movies LGBTQ Movies,"Two teen girls form an intense bond and launch a lucrative webcam business, leading them to a dangerous encounter with a middle-aged married man.",74.0,"Teenage Cocktail Dramas Independent Movies LGBTQ Movies Two teen girls form an intense bond and launch a lucrative webcam business, leading them to a dangerous encounter with a middle-aged married man. Netflix"
Teenage Mutant Ninja Turtles,Children Family Movies Comedies,"In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York.",60.5,"Teenage Mutant Ninja Turtles Children Family Movies Comedies In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York. Netflix"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Children Family Movies Comedies,"The evil Shredder decides that ooze is what gives the ninja turtles their power, so he obtains some of the toxic junk and creates dangerous mutants.",36.5,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze Children Family Movies Comedies The evil Shredder decides that ooze is what gives the ninja turtles their power, so he obtains some of the toxic junk and creates dangerous mutants. Netflix"
Teenage Mutant Ninja Turtles: The Movie,Action Adventure Comedies,"After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it.",35.0,"Teenage Mutant Ninja Turtles: The Movie Action Adventure Comedies After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it. Netflix"
Tees Maar Khan,Comedies International Movies Music Musicals,A flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train.,65.0,Tees Maar Khan Comedies International Movies Music Musicals A flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train. Netflix
Tellur Aliens,Children Family Movies,Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe.,74.0,Tellur Aliens Children Family Movies Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe. Netflix
Temporada de Caza,Dramas International Movies,Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia.,75.5,Temporada de Caza Dramas International Movies Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia. Netflix
Ten Years,Dramas Independent Movies International Movies,"Five shorts reveal a fictional Hong Kong in 2025, depicting a dystopian city where residents and activists face crackdowns under iron-fisted rule.",72.5,"Ten Years Dramas Independent Movies International Movies Five shorts reveal a fictional Hong Kong in 2025, depicting a dystopian city where residents and activists face crackdowns under iron-fisted rule. Netflix"
Teresa,International TV Shows Romantic TV,"We all want so much more than we have, but how far are we willing to go to get it?",65.0,"Teresa International TV Shows Romantic TV We all want so much more than we have, but how far are we willing to go to get it? Netflix"
Terminator 3: Rise of the Machines,Action Adventure Sci-Fi Fantasy,"Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",54.5,"Terminator 3: Rise of the Machines Action Adventure Sci-Fi Fantasy Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Netflix"
Terminator Salvation,Action Adventure Sci-Fi Fantasy,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots.",63.5,"Terminator Salvation Action Adventure Sci-Fi Fantasy All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots. Netflix"
Terra,Documentaries International Movies,This visually arresting documentary essay reflects on our relationship to other living creatures as humanity becomes more isolated from nature.,72.5,Terra Documentaries International Movies This visually arresting documentary essay reflects on our relationship to other living creatures as humanity becomes more isolated from nature. Netflix
Terrifier,Horror Movies Independent Movies Thrillers,"On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.",75.5,"Terrifier Horror Movies Independent Movies Thrillers On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence. Netflix"
Teshan,Comedies International Movies Romantic Movies,New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas.,74.0,Teshan Comedies International Movies Romantic Movies New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas. Netflix
Tezz,Action Adventure International Movies Music,This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him.,68.0,Tezz Action Adventure International Movies Music This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him. Netflix
Th Eena Meena Deeka Chase Comedy Show,Kids' TV TV Comedies,"A hungry fox and three resourceful, surprisingly formidable birds turn the animal kingdom on its head in this lively animated series.",72.5,"Th Eena Meena Deeka Chase Comedy Show Kids' TV TV Comedies A hungry fox and three resourceful, surprisingly formidable birds turn the animal kingdom on its head in this lively animated series. Netflix"
Thackeray,TV Shows,"From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",78.5,"Thackeray TV Shows From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray. Netflix"
That '70s Show,TV Comedies,"Feel groovy in 1970s suburbia, where a teen and his pals hang in the basement, listening to rock and indulging other hazy benefits of '70s culture.",57.5,"That '70s Show TV Comedies Feel groovy in 1970s suburbia, where a teen and his pals hang in the basement, listening to rock and indulging other hazy benefits of '70s culture. Netflix"
The 2000s,Docuseries,"Examine the triumphs, tragedies, cultural shifts and technological leaps that occurred during the millennium's first decade.",77.0,"The 2000s Docuseries Examine the triumphs, tragedies, cultural shifts and technological leaps that occurred during the millennium's first decade. Netflix"
The 24 Hour War,Documentaries Sports Movies,An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.,74.0,The 24 Hour War Documentaries Sports Movies An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history. Netflix
The 4th Company,Action Adventure Dramas International Movies,"In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration.",74.0,"The 4th Company Action Adventure Dramas International Movies In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration. Netflix"
The Accountant of Auschwitz,Documentaries International Movies,"Decades after WWII, a former SS officer stands trial in his native Germany after being charged for his complicity in the murder of Jews at Auschwitz.",77.0,"The Accountant of Auschwitz Documentaries International Movies Decades after WWII, a former SS officer stands trial in his native Germany after being charged for his complicity in the murder of Jews at Auschwitz. Netflix"
The Adderall Diaries,Dramas Thrillers,Author Stephen Elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he's writing a book.,72.5,The Adderall Diaries Dramas Thrillers Author Stephen Elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he's writing a book. Netflix
The Adjusters,International TV Shows TV Dramas,"An insurance adjuster investigates cases of possible fraud while hiding a romance with a colleague, unaware that someone he trusts is toying with him.",65.0,"The Adjusters International TV Shows TV Dramas An insurance adjuster investigates cases of possible fraud while hiding a romance with a colleague, unaware that someone he trusts is toying with him. Netflix"
The Adventure Club,Children Family Movies,"After finding a peculiar key, three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure.",74.0,"The Adventure Club Children Family Movies After finding a peculiar key, three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure. Netflix"
The Adventures of Figaro Pho,Kids' TV TV Comedies,"Imagine your worst fears, then multiply them: Figaro is a boy with any number of phobias and a highly quirky and imaginative way of dealing with them.",72.5,"The Adventures of Figaro Pho Kids' TV TV Comedies Imagine your worst fears, then multiply them: Figaro is a boy with any number of phobias and a highly quirky and imaginative way of dealing with them. Netflix"
The Adventures of Sharkboy and Lavagirl,Children Family Movies,A 10-year-old dreamer's imaginary friends – mighty Sharkboy and fire-producing Lavagirl – come to life to seek his help battling a nefarious baddie.,57.5,The Adventures of Sharkboy and Lavagirl Children Family Movies A 10-year-old dreamer's imaginary friends – mighty Sharkboy and fire-producing Lavagirl – come to life to seek his help battling a nefarious baddie. Netflix
The Adventures of Tintin,Children Family Movies,"This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy.",66.5,"The Adventures of Tintin Children Family Movies This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy. Netflix"
The Aerial,Dramas International Movies Sci-Fi Fantasy,"In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change.",60.5,"The Aerial Dramas International Movies Sci-Fi Fantasy In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change. Netflix"
The Age of Shadows,Action Adventure Dramas International Movies,"Formerly a Korean resistance fighter, a policeman working for Japan is tasked with tracking down resistance leaders before they acquire explosives.",74.0,"The Age of Shadows Action Adventure Dramas International Movies Formerly a Korean resistance fighter, a policeman working for Japan is tasked with tracking down resistance leaders before they acquire explosives. Netflix"
The American President,Comedies Dramas Romantic Movies,The widowed president strikes up a romance with a beautiful Washington lobbyist – but can the couple keep their private and political lives separate?,42.5,The American President Comedies Dramas Romantic Movies The widowed president strikes up a romance with a beautiful Washington lobbyist – but can the couple keep their private and political lives separate? Netflix
The Amityville Horror,Horror Movies,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz family, whose new home has a gory past and a legacy of demons.",57.5,"The Amityville Horror Horror Movies This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz family, whose new home has a gory past and a legacy of demons. Netflix"
The Andy Griffith Show,Classic Cult TV TV Comedies,"Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry, a small town filled with lovable characters.",10.0,"The Andy Griffith Show Classic Cult TV TV Comedies Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry, a small town filled with lovable characters. Netflix"
The Angry Birds Movie 2,Children Family Movies Comedies,Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that’s threatening all of their homes.,78.5,The Angry Birds Movie 2 Children Family Movies Comedies Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that’s threatening all of their homes. Netflix
The Animal People,Documentaries,Animal rights protesters trying to shut down a facility that conducts animal testing are labeled terrorists by big business and law enforcement.,78.5,The Animal People Documentaries Animal rights protesters trying to shut down a facility that conducts animal testing are labeled terrorists by big business and law enforcement. Netflix
The Ant's Scream,Comedies Dramas International Movies,"Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution.",65.0,"The Ant's Scream Comedies Dramas International Movies Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution. Netflix"
The Apartment,International TV Shows Reality TV,"With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie.",71.0,"The Apartment International TV Shows Reality TV With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie. Netflix"
The Apostate,Comedies Dramas International Movies,A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.,72.5,The Apostate Comedies Dramas International Movies A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts. Netflix
The Art of the Steal,Action Adventure Comedies Independent Movies,"Crunch Calhoun, a daredevil motorcyclist and mostly reformed con artist, agrees to do one last job: helping his brother Nicky steal a priceless book.",69.5,"The Art of the Steal Action Adventure Comedies Independent Movies Crunch Calhoun, a daredevil motorcyclist and mostly reformed con artist, agrees to do one last job: helping his brother Nicky steal a priceless book. Netflix"
The Art of War,Action Adventure,"Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name.",50.0,"The Art of War Action Adventure Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name. Netflix"
The Assignment,Action Adventure,A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge.,74.0,The Assignment Action Adventure A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge. Netflix
The Autopsy of Jane Doe,Horror Movies Independent Movies Thrillers,A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.,74.0,The Autopsy of Jane Doe Horror Movies Independent Movies Thrillers A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret. Netflix
The Bachelor,Reality TV Romantic TV Shows,A single man searches for his soulmate through a series of dates with 25 contestants ready to romance him for a chance at love.,63.5,The Bachelor Reality TV Romantic TV Shows A single man searches for his soulmate through a series of dates with 25 contestants ready to romance him for a chance at love. Netflix
The Bachelors,Dramas,"After the death of his wife, a teacher and his son move to a new city, where emotional connections with two women help them begin to heal.",75.5,"The Bachelors Dramas After the death of his wife, a teacher and his son move to a new city, where emotional connections with two women help them begin to heal. Netflix"
The Bad Education Movie,Comedies,"Britain's most ineffective but caring teacher takes his class to Cornwall for one last school trip, where anything could happen –  and probably will.",72.5,"The Bad Education Movie Comedies Britain's most ineffective but caring teacher takes his class to Cornwall for one last school trip, where anything could happen –  and probably will. Netflix"
The Bad Kids,Documentaries,"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students.",74.0,"The Bad Kids Documentaries In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students. Netflix"
The Bare-Footed Kid,Action Adventure International Movies,"While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.",39.5,"The Bare-Footed Kid Action Adventure International Movies While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties. Netflix"
The Basement,Horror Movies Thrillers,"Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games.",77.0,"The Basement Horror Movies Thrillers Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games. Netflix"
The Battle of Midway,Classic Movies Documentaries,"Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",10.0,"The Battle of Midway Classic Movies Documentaries Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific. Netflix"
The Beat,International TV Shows TV Dramas,"The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.",68.0,"The Beat International TV Shows TV Dramas The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group. Netflix"
The Beginning of Life: The Series,Docuseries International TV Shows Science,"Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future.",74.0,"The Beginning of Life: The Series Docuseries International TV Shows Science Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future. Netflix"
The Bible's Buried Secrets,British TV Shows Docuseries Science,"Host Francesca Stavrakopoulou travels across the Middle East, offering extraordinary insights into the stories of the Old Testament.",66.5,"The Bible's Buried Secrets British TV Shows Docuseries Science Host Francesca Stavrakopoulou travels across the Middle East, offering extraordinary insights into the stories of the Old Testament. Netflix"
The Big Catch,British TV Shows Reality TV,"In a global competition, eight fishing enthusiasts battle extreme conditions and dangerous waters to be crowned the ultimate angler.",72.5,"The Big Catch British TV Shows Reality TV In a global competition, eight fishing enthusiasts battle extreme conditions and dangerous waters to be crowned the ultimate angler. Netflix"
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Documentaries,"This documentary highlights spontaneous encounters with the elusive, comedic veteran, who touches lives by simply showing up anywhere.",77.0,"The Bill Murray Stories: Life Lessons Learned From a Mythical Man Documentaries This documentary highlights spontaneous encounters with the elusive, comedic veteran, who touches lives by simply showing up anywhere. Netflix"
The Black Room,Horror Movies,A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement.,74.0,The Black Room Horror Movies A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement. Netflix
The Blackcoat's Daughter,Horror Movies Independent Movies Thrillers,"When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence.",72.5,"The Blackcoat's Daughter Horror Movies Independent Movies Thrillers When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence. Netflix"
The Bleeder,Dramas Sports Movies,"Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa.",74.0,"The Bleeder Dramas Sports Movies Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa. Netflix"
The Blue Planet: A Natural History of the Oceans,British TV Shows Docuseries International,"David Attenborough narrates this definitive exploration of the marine world, from the familiar to the unknown, revealing the sea and its communities.",51.5,"The Blue Planet: A Natural History of the Oceans British TV Shows Docuseries International David Attenborough narrates this definitive exploration of the marine world, from the familiar to the unknown, revealing the sea and its communities. Netflix"
The Bomb,Documentaries,"Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid.",74.0,"The Bomb Documentaries Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid. Netflix"
The Bomb Squad,British TV Shows Docuseries,This documentary follows British bomb disposal teams in Afghanistan and the dangers they face in their methodical lives on the front lines of war.,66.5,The Bomb Squad British TV Shows Docuseries This documentary follows British bomb disposal teams in Afghanistan and the dangers they face in their methodical lives on the front lines of war. Netflix
The Book of Eli,Action Adventure Sci-Fi Fantasy,"Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",65.0,"The Book of Eli Action Adventure Sci-Fi Fantasy Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country. Netflix"
The Boss's Daughter,Dramas International Movies Romantic Movies,"While working together, a married textile foreman and his boss’s daughter have a torrid love affair, stirring up hostility among the factory crew.",72.5,"The Boss's Daughter Dramas International Movies Romantic Movies While working together, a married textile foreman and his boss’s daughter have a torrid love affair, stirring up hostility among the factory crew. Netflix"
The Bounty Hunter,Action Adventure Comedies Romantic Movies,"Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",65.0,"The Bounty Hunter Action Adventure Comedies Romantic Movies Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole. Netflix"
The Box,Sci-Fi Fantasy Thrillers,A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.,63.5,The Box Sci-Fi Fantasy Thrillers A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger. Netflix
The Boy,Horror Movies Independent Movies Thrillers,A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,74.0,The Boy Horror Movies Independent Movies Thrillers A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human. Netflix
The Boy in the Striped Pajamas,Dramas Independent Movies International Movies,"When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner.",62.0,"The Boy in the Striped Pajamas Dramas Independent Movies International Movies When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner. Netflix"
The Brave One,Dramas Thrillers,New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.,60.5,The Brave One Dramas Thrillers New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack. Netflix
The Brawler,Dramas Independent Movies Sports Movies,"Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",78.5,"The Brawler Dramas Independent Movies Sports Movies Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity. Netflix"
The Breadwinner,Children Family Movies Dramas International,A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.,75.5,The Breadwinner Children Family Movies Dramas International A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested. Netflix
The Break-Up,Comedies Dramas Romantic Movies,Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.,59.0,The Break-Up Comedies Dramas Romantic Movies Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo. Netflix
The Bridge,Dramas International Movies Romantic Movies,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,75.5,The Bridge Dramas International Movies Romantic Movies A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed. Netflix
The Brothers Grimm,Action Adventure Sci-Fi Fantasy,"Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.",57.5,"The Brothers Grimm Action Adventure Sci-Fi Fantasy Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists. Netflix"
The Bucket List,Comedies Dramas,Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,60.5,The Bucket List Comedies Dramas Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket. Netflix
The Bulbul's Nest,Comedies International Movies,"A taxi driver longs to be a pop singer, but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer.",69.5,"The Bulbul's Nest Comedies International Movies A taxi driver longs to be a pop singer, but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer. Netflix"
The Bund,Action Adventure Dramas International Movies,"After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.",24.5,"The Bund Action Adventure Dramas International Movies After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate. Netflix"
The Bye Bye Man,Horror Movies Thrillers,Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man.,75.5,The Bye Bye Man Horror Movies Thrillers Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man. Netflix
The Bygone,Independent Movies Thrillers,"His way of life under threat due to the oil fracking boom, a young rancher defends a Lakota woman and becomes entangled in human trafficking.",78.5,"The Bygone Independent Movies Thrillers His way of life under threat due to the oil fracking boom, a young rancher defends a Lakota woman and becomes entangled in human trafficking. Netflix"
The Cakemaker,Dramas Independent Movies International Movies,"When a German baker travels to Jerusalem in search of his dead male lover’s family, his growing involvement with them may expose his truth.",75.5,"The Cakemaker Dramas Independent Movies International Movies When a German baker travels to Jerusalem in search of his dead male lover’s family, his growing involvement with them may expose his truth. Netflix"
The Calling,International TV Shows Reality TV,"Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.",77.0,"The Calling International TV Shows Reality TV Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship. Netflix"
The Captive,Dramas Thrillers,"Eight years after their daughter's abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she's still alive.",71.0,"The Captive Dramas Thrillers Eight years after their daughter's abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she's still alive. Netflix"
The Car,Cult Movies Horror Movies,"In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan.",15.5,"The Car Cult Movies Horror Movies In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan. Netflix"
The Carter Effect,Documentaries Sports Movies,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene.",75.5,"The Carter Effect Documentaries Sports Movies Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene. Netflix"
The Case for Christ,Dramas Faith Spirituality,"Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith.",75.5,"The Case for Christ Dramas Faith Spirituality Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith. Netflix"
The Cell,Action Adventure Dramas International Movies,A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,75.5,The Cell Action Adventure Dramas International Movies A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack. Netflix
The CEO,Dramas International Movies Thrillers,A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.,74.0,The CEO Dramas International Movies Thrillers A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive. Netflix
The Charnel House,Horror Movies Thrillers,"After an architect transforms a slaughterhouse into trendy lofts, its new inhabitants discover that the structure is haunted by its evil past.",74.0,"The Charnel House Horror Movies Thrillers After an architect transforms a slaughterhouse into trendy lofts, its new inhabitants discover that the structure is haunted by its evil past. Netflix"
The Chefs' Line,International TV Shows Reality TV,Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.,75.5,The Chefs' Line International TV Shows Reality TV Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show. Netflix
The Chord,Dramas International Movies Music Musicals,"A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.",65.0,"The Chord Dramas International Movies Music Musicals A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions. Netflix"
The Chosen,Dramas International Movies Thrillers,"In 1937, Spanish revolutionary Ramón trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico.",74.0,"The Chosen Dramas International Movies Thrillers In 1937, Spanish revolutionary Ramón trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico. Netflix"
The Chosen Ones,Dramas Independent Movies International Movies,"Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he'll do anything to rescue her.",72.5,"The Chosen Ones Dramas Independent Movies International Movies Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he'll do anything to rescue her. Netflix"
The Christmas Candle,Dramas Faith Spirituality,A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.,69.5,The Christmas Candle Dramas Faith Spirituality A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents. Netflix
The Christmas Project,Children Family Movies Comedies,Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.,74.0,The Christmas Project Children Family Movies Comedies Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way. Netflix
The Cincinnati Kid,Classic Movies Dramas,"In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey 'The Man' Howard to a showdown at the table, where a war of wills – and nerve – ensues.",10.0,"The Cincinnati Kid Classic Movies Dramas In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey 'The Man' Howard to a showdown at the table, where a war of wills – and nerve – ensues. Netflix"
The Code,British TV Shows Docuseries International,"In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself.",66.5,"The Code British TV Shows Docuseries International In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself. Netflix"
